Juego,Balda,Fecha adquisición,Prestado a,Fecha préstamo,Estado,Anotaciones,Comprobado,Veces sacado 2014,Veces sacado 2015,Veces sacado 2016,Veces sacado 2017,Veces sacado 2018,Veces sacado 2019,Veces sacado 2020,Veces sacado 2021,Veces sacado 2023,Veces sacado 2024,Veces sacado 2025,Veces sacado TOTAL,,,,,,,,,,,,,,
Batalla por el Olimpo,I5,,,,,,,,,2,1,1,,,,,,,4,,,,,,,,,,,,,,
Battle Line,C6,,,,,,,,2,1,1,,3,,,,,,7,,,,,,,,,,,,,,
Battlelore 2ª Edición,A4,,,,,ok,29-julio,,5,,,1,,,,,,,6,,,,,,,,,,,,,,
Battlestar Galactica,B4,,,,,ok,18-enero,,,,2,,1,,,,,,3,,,,,,,,,,,,,,
Battlestar Galactica: Pegasus,B4,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Bauhaus,H6,,,,,,,,3,1,,1,3,2,,,,,10,,,,,,,,,,,,,,
Baumeister,*,,,,,ok,,1,2,,,,,,,,,,3,,,,,,,,,,,,,,
Bed Bugs,Y2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Bee War,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Between Two Cities,J3,,,,,,,,,,,,1,1,,,,1,3,,,,,,,,,,,,,,
Bichos,COL 7,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
Bienvenidos a la mazmorra,COL 0,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,
Big Bang 13.7,J6,,,,,,,,,,,2,1,1,,,,,4,,,,,,,,,,,,,,
Big Bazar,Z2,,,,,,,,,,,1,,2,,2,,,5,,,,,,,,,,,,,,
Bim Bam Bum,Novedades,16 OCT 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Bitoku,F2,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
BITS,*,,,,,,,,,2,,,1,,1,,,,4,,,,,,,,,,,,,,
Black Hills,J6,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Black Stories Junior: Red Stories,COL 4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Blank,COL 4,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,
Blind Business,COL 0,20 JUL 2023,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Blood Bowl: Team Manager,B4,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
Blood on the Clocktower (PnP),O4,15 MAR 2025,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Blood Rage,A3,,,,,,,,,4,3,2,2,1,,,,,12,,,,,,,,,,,,,,
Bloom,COL 6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Blueprints,E6,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,
Bluff Party,P1,,,,,ok,,,,,1,,1,,1,,,,3,,,,,,,,,,,,,,
Bohnanza,I6,,,,,,,,1,,1,,2,1,1,,,,6,,,,,,,,,,,,,,
Bohnanza: Bohnaparte & High Bohn,COL 3,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
Bohnanza: La judía tenía un precio,COL 3,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Bombay,J1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Boom Party,Ventas,,,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,
Boombeados,COL 2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Borderlands: La palestra sangrienta del Señor Torgue,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Bottle Imp,COL 0,15 MAY 2025,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Boule Rouge,COL 2,15 MAY 2025,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Brass: Birmingham,E2,,,,,,,,,,,,,2,2,1,1,1,7,,,,,,,,,,,,,,
Brotherhood & Unity (Hermandad y Unidad),C6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Brumm Brumm,Y6,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Bruxelles 1893,E4,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,
Buffet Boss,COL 7,20 NOV 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Buildzi,Z2,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Bunny Hops! (versión mini),COL 7,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Bunny Kingdom,E5,,,,,,,,,,,6,2,3,1,,,,12,,,,,,,,,,,,,,
Burning Bakery,Z3,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,
Caballeros Guerreros,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
CABO,COL 0,,,,,,,,,,,,,,,1,,4,5,,,,,,,,,,,,,,
Cacao,M5,,,,,ok,18-agosto,,6,1,5,3,5,2,,,1,,23,,,,,,,,,,,,,,
Cacao: Xocolatl,M5,,,,,,,,,,5,,1,1,1,,,,8,,,,,,,,,,,,,,
Café,COL 2,,,,,,,,,,,,,,3,,3,1,7,,,,,,,,,,,,,,
Cakes!,Novedades,30 AGO 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Calico,J4,,,,,ok,29/06/2025,,,,,,,,,,3,2,5,,,,,,,,,,,,,,
Calimala,G3,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Callisto,J6,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,
Camel Up,D3,,,,,revisar,12-agosto,6,9,1,1,5,6,4,1,,2,2,37,,,,,,,,,,,,,,
Camel Up Cartas,COL 2,,,,,,,,,,1,2,,,,,,,3,,,,,,,,,,,,,,
Camel Up Cards: Catch Up Trophies,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Camel Up: El camello árbitro,D3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Camel Up: Supercup,D3,,,,,,12-agosto,,1,2,1,,,,,,,,4,,,,,,,,,,,,,,
Campos de Arle: Big Box,E3,16 DIC 2024,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Can't Stop,K3,,,,,,,,,1,2,3,4,,1,,,,11,,,,,,,,,,,,,,
Candy Match,COL 6,,,,,,,,,,,1,2,,,,,,3,,,,,,,,,,,,,,
Caper,H6,,,,,,,,,,,,2,1,1,,1,,5,,,,,,,,,,,,,,
Capitán Bacon,COL 2,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,
Capitán Flint,Y5,,,,,,,,,3,,5,1,,,,,1,10,,,,,,,,,,,,,,
"Capitán Pepe, ¡Tesoro a la Vista!",Novedades,14 JUN 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Captain Flip,Z3,MAR 2024,SiempreNosQuedaráCatán,1 oct,,,,,,,,,,,,,6,5,11,,,,,,,,,,,,,,
Carcassonne,M4,ExpOtaku,,,,ok,23-julio,,3,,1,2,3,1,,3,3,2,18,,,,,,,,,,,,,,
Carcassonne,*,,,,X,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Carcassonne,*,,,,X,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Carcassonne: Cazadores y Recolectores,M4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
